,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
A,0.8162546816479402,0.04296100553041728,0.6457399103139013,0.77505039193729,0.04043464455428461,0.643312101910828,0.7982521847690387,0.0484973333972797,0.6457399103139013,stock,0.8162546816479402
AAL,0.8026716604244694,0.01545114178680414,0.48654708520179374,0.7474356103023517,0.036355503614695195,0.47983014861995754,0.798227215980025,0.03318448814920409,0.48654708520179374,stock,0.8026716604244694
AAP,0.8184269662921348,0.02362865515163129,0.6098654708520179,0.7113997760358342,0.037471915692487485,0.6008492569002123,0.809438202247191,0.019866998746337364,0.6098654708520179,stock,0.8184269662921348
AAPL,0.8204494382022471,0.046438081269535254,0.6434977578475336,0.7155431131019037,0.036707952230306304,0.6369426751592356,0.8026466916354558,0.03248499904916877,0.6434977578475336,stock,0.8204494382022471
ABBV,0.843171036204744,0.04320353827204729,0.5852017937219731,0.7323628219484883,0.0611169853059766,0.583864118895966,0.8118102372034957,0.05310302031844164,0.5852017937219731,stock,0.843171036204744
ABC,0.7535081148564295,0.04669187579634647,0.5358744394618834,0.7091153415453527,0.025836826882406842,0.5329087048832272,0.7512609238451935,0.03597911526858428,0.5358744394618834,stock,0.7535081148564295
ABMD,0.8115106117353307,0.0402710574833335,0.5964125560538116,0.7600895856662934,0.019646725881185538,0.5923566878980892,0.8161048689138577,0.030018674021743644,0.5964125560538116,both,0.8161048689138577
ABT,0.8160799001248439,0.043215658031990435,0.5919282511210763,0.7643225083986561,0.004601687022212858,0.5881104033970276,0.8026217228464418,0.05367186252486248,0.5919282511210763,stock,0.8160799001248439
ACN,0.8475405742821472,0.03221209913051013,0.7017937219730942,0.7771556550951847,0.045620846364357856,0.6900212314225053,0.8363795255930088,0.035645392824638245,0.7017937219730942,stock,0.8475405742821472
ADI,0.7960049937578029,0.027540472414732644,0.5717488789237668,0.7091825307950728,0.03912744354822005,0.564755838641189,0.8004494382022471,0.02396816472085104,0.5717488789237668,both,0.8004494382022471
ADM,0.8025717852684146,0.04728337142862921,0.625560538116592,0.7622844344904816,0.02485330256323624,0.6220806794055201,0.8002996254681648,0.042149327510554,0.625560538116592,stock,0.8025717852684146
ADP,0.7959300873907615,0.030681308193603755,0.5986547085201793,0.7389249720044793,0.044443463945987874,0.5987261146496815,0.7982521847690387,0.027129942232400846,0.5986547085201793,both,0.7982521847690387
ADSK,0.7667915106117353,0.015237099927483004,0.5874439461883408,0.6985442329227324,0.02702598889952665,0.5796178343949044,0.7645692883895131,0.012352966127159904,0.5874439461883408,stock,0.7667915106117353
AEE,0.798227215980025,0.026404940038680113,0.5067264573991032,0.7388353863381858,0.061583564750734586,0.5031847133757962,0.791410736579276,0.029364230071680836,0.5067264573991032,stock,0.798227215980025
AEP,0.8049438202247192,0.008691721171152243,0.5224215246636771,0.772922732362822,0.027223247403716556,0.5116772823779193,0.831860174781523,0.013916018055352516,0.5224215246636771,both,0.831860174781523
AIZ,0.7891885143570536,0.017046497829270275,0.57847533632287,0.7558566629339307,0.037323841566077695,0.5711252653927813,0.7937078651685393,0.023240779278827693,0.57847533632287,both,0.7937078651685393
AJG,0.8003995006242196,0.02535708069726527,0.6233183856502242,0.7538633818589024,0.037637642835924266,0.6157112526539278,0.8026466916354555,0.03169820955219235,0.6233183856502242,both,0.8026466916354555
AKAM,0.8207240948813983,0.02854097508950524,0.5717488789237668,0.7666069428891378,0.05461931802851148,0.5796178343949044,0.8297378277153558,0.035579814698225694,0.5717488789237668,both,0.8297378277153558
ALB,0.7780274656679151,0.049933832568653636,0.5964125560538116,0.7261142217245241,0.03520310620009854,0.583864118895966,0.7891385767790261,0.0670568893403298,0.5964125560538116,both,0.7891385767790261
ALGN,0.8093383270911361,0.039868706174826594,0.5672645739910314,0.7092273236282194,0.04617360089408792,0.5605095541401274,0.7980774032459426,0.04065526154991734,0.5672645739910314,stock,0.8093383270911361
ALK,0.8183270911360798,0.037435734595400706,0.5179372197309418,0.723986562150056,0.029350877760267565,0.5095541401273885,0.8340074906367041,0.02732019128103041,0.5179372197309418,both,0.8340074906367041
ALLE,0.8317602996254682,0.033638213514753414,0.5426008968609866,0.738969764837626,0.06759619205672417,0.5307855626326964,0.8407740324594257,0.02199686542995677,0.5426008968609866,both,0.8407740324594257
ALTR,0.804843945068664,0.05556452676236605,0.6188340807174888,0.738902575587906,0.04252669653156905,0.6029723991507431,0.7892384519350812,0.06866836441619667,0.6188340807174888,stock,0.804843945068664
AMAT,0.8005493133583022,0.049436789851071486,0.6121076233183856,0.7389249720044793,0.019768513976253368,0.6050955414012739,0.798401997503121,0.05352008525368616,0.6121076233183856,stock,0.8005493133583022
AMD,0.8250936329588014,0.05804155993351465,0.5515695067264574,0.736662933930571,0.02860089918097051,0.554140127388535,0.813832709113608,0.05903491975197357,0.5515695067264574,stock,0.8250936329588014
AME,0.7847191011235954,0.026260424553692655,0.57847533632287,0.732541993281075,0.036611503759601184,0.5796178343949044,0.7936329588014981,0.03494203382678832,0.57847533632287,both,0.7936329588014981
AMGN,0.8138826466916355,0.019743729480010623,0.4977578475336323,0.7263829787234044,0.08311064254643728,0.505307855626327,0.8340324594257178,0.018350548147028717,0.4977578475336323,both,0.8340324594257178
AMP,0.7891385767790261,0.04440374632293313,0.6457399103139013,0.7409406494960805,0.039210401189244175,0.6369426751592356,0.773458177278402,0.03554450725398982,0.6457399103139013,stock,0.7891385767790261
AMT,0.7780524344569287,0.04827109500196979,0.5089686098654709,0.7643225083986562,0.03117421898081494,0.5095541401273885,0.798227215980025,0.043112531471390284,0.5089686098654709,both,0.798227215980025
AMZN,0.7735330836454432,0.03514839321801304,0.5426008968609866,0.7325867861142218,0.04753979044975762,0.5520169851380042,0.7735330836454433,0.02883435712010397,0.5426008968609866,both,0.7735330836454433
ANET,0.8047191011235956,0.06253654404420106,0.6076233183856502,0.766494960806271,0.01845095039021845,0.6093418259023354,0.8092883895131087,0.039357148231527896,0.6076233183856502,both,0.8092883895131087
ANTM,0.8138826466916355,0.023266088562739356,0.5672645739910314,0.6921836506159014,0.042227456059022624,0.5626326963906582,0.813832709113608,0.01742714154142229,0.5672645739910314,stock,0.8138826466916355
AON,0.8070911360799,0.03886241015260772,0.5605381165919282,0.7113997760358343,0.04613517213620212,0.5562632696390658,0.825043695380774,0.027507583496792207,0.5605381165919282,both,0.825043695380774
AOS,0.8070162297128588,0.0498267434203235,0.57847533632287,0.7347592385218366,0.04291731989507757,0.5732484076433121,0.7845692883895131,0.05043284985961091,0.57847533632287,stock,0.8070162297128588
APA,0.7891136079900125,0.034926543421514585,0.5672645739910314,0.7749608062709967,0.018099103926821025,0.5583864118895966,0.7913607990012484,0.032816094788335005,0.5672645739910314,both,0.7913607990012484
APD,0.8340574282147315,0.03590876476271492,0.5493273542600897,0.7134602463605824,0.05023139288473193,0.5435244161358811,0.8205992509363297,0.035657319057413955,0.5493273542600897,stock,0.8340574282147315
APH,0.8004494382022471,0.04459188046674144,0.594170403587444,0.706942889137738,0.06177981585990728,0.5881104033970276,0.7982022471910113,0.03098842997921474,0.594170403587444,stock,0.8004494382022471
ARE,0.851960049937578,0.044760786960955166,0.5717488789237668,0.7261814109742442,0.027297492686506,0.5668789808917197,0.8587265917602995,0.039365701220443874,0.5717488789237668,both,0.8587265917602995
ATVI,0.8047940074906366,0.05959384100879554,0.5134529147982063,0.7452183650615901,0.020213358430143845,0.5201698513800425,0.8093133583021224,0.047450396538273994,0.5134529147982063,both,0.8093133583021224
AVB,0.7691385767790262,0.02726591760299624,0.5762331838565022,0.7154535274356103,0.04558427345575904,0.5668789808917197,0.7891635455680399,0.019986638325539773,0.5762331838565022,both,0.7891635455680399
AVY,0.7846441947565543,0.03265092841603501,0.5874439461883408,0.7240761478163494,0.040244123371113674,0.5774946921443737,0.7958302122347066,0.055117808565967846,0.5874439461883408,both,0.7958302122347066
AWK,0.8744069912609238,0.024138504946031335,0.5807174887892377,0.7918701007838745,0.044669741284525784,0.5711252653927813,0.8632209737827715,0.013168189928596726,0.5807174887892377,stock,0.8744069912609238
AXP,0.8071660424469413,0.019398933358911904,0.5919282511210763,0.7323180291153416,0.06445740050393532,0.583864118895966,0.8227965043695381,0.02641074764438333,0.5919282511210763,both,0.8227965043695381
AZO,0.8251435705368291,0.02596437126534819,0.6031390134529148,0.7177155655095184,0.04719703520743757,0.5944798301486199,0.8206491885143571,0.018565365051623185,0.6031390134529148,stock,0.8251435705368291
BA,0.8408739076154805,0.04599082848033405,0.47757847533632286,0.7453751399776036,0.04840525239630914,0.4734607218683652,0.8385767790262172,0.05924710092370094,0.47757847533632286,stock,0.8408739076154805
BAC,0.8297378277153558,0.044417391365288786,0.5807174887892377,0.7514669652855542,0.047878258738442724,0.5753715498938429,0.8251685393258427,0.02026961309443536,0.5807174887892377,stock,0.8297378277153558
BAX,0.8072659176029962,0.03140855322295507,0.49327354260089684,0.7027099664053752,0.033355656231299165,0.4968152866242038,0.8027465667915106,0.016026773069544288,0.49327354260089684,stock,0.8072659176029962
BBY,0.8296878901373284,0.030660452911188102,0.5650224215246636,0.7620828667413214,0.041245395454074046,0.5583864118895966,0.8453932584269663,0.030627820291956532,0.5650224215246636,both,0.8453932584269663
BDX,0.8452184769038702,0.054001920566436705,0.5515695067264574,0.7281970884658454,0.03982177338693967,0.5520169851380042,0.8430212234706616,0.048797063394818374,0.5515695067264574,stock,0.8452184769038702
BEN,0.7915106117353308,0.016373129898382018,0.5538116591928252,0.7324972004479283,0.03935365866662043,0.535031847133758,0.7892634207240949,0.017627328434180058,0.5538116591928252,stock,0.7915106117353308
BF-A,0.8273158551810237,0.02545131752876813,0.5201793721973094,0.7049048152295633,0.025238525712006098,0.5222929936305732,0.8116354556803994,0.03142442871778106,0.5201793721973094,stock,0.8273158551810237
BHI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
BIIB,0.8294881398252185,0.03171590581363494,0.47533632286995514,0.7176035834266516,0.014731905898002879,0.4819532908704883,0.833932584269663,0.04436936243841596,0.47533632286995514,both,0.833932584269663
BIO,0.8340574282147315,0.05150634519987331,0.5874439461883408,0.7813213885778275,0.05650573736027451,0.5859872611464968,0.8295630461922597,0.05104455956495038,0.5874439461883408,stock,0.8340574282147315
BK,0.8250187265917603,0.032632363663136744,0.5874439461883408,0.7706830907054872,0.023065416924779893,0.5881104033970276,0.8228714107365793,0.036496683397127756,0.5874439461883408,stock,0.8250187265917603
BLK,0.8431460674157304,0.038410535944667853,0.6053811659192825,0.7749608062709965,0.024478432932755576,0.6008492569002123,0.8408739076154805,0.02550871902748938,0.6053811659192825,stock,0.8431460674157304
BMRA,0.8319101123595505,0.017999985972584946,0.47757847533632286,0.7729451287793954,0.041497943085231005,0.47983014861995754,0.8542571785268415,0.025630142665512612,0.47757847533632286,both,0.8542571785268415
BMY,0.8519350811485642,0.021033148253335986,0.5224215246636771,0.7387458006718924,0.0573230146007632,0.5222929936305732,0.8363046192259675,0.0197228778939355,0.5224215246636771,stock,0.8519350811485642
BR,0.7958052434456928,0.040966592772740305,0.6076233183856502,0.7432698768197088,0.05819762176271912,0.6008492569002123,0.7958302122347065,0.03419827287966748,0.6076233183856502,both,0.7958302122347065
BRK-A,0.7915605493133583,0.03392647472602002,0.5986547085201793,0.7453303471444569,0.03894893317663154,0.5944798301486199,0.8094631710362048,0.032249817798719084,0.5986547085201793,both,0.8094631710362048
BSHI,0.9047169811320754,0.03672562011678831,0.4524714828897338,0.7876147816349384,0.03954794980291408,0.2823779193205945,0.9010159651669085,0.022618238198925528,0.4524714828897338,stock,0.9047169811320754
BSX,0.8072659176029964,0.042953168457353016,0.547085201793722,0.6793729003359463,0.037342450104356106,0.5498938428874734,0.7960299625468166,0.04309011144746203,0.547085201793722,stock,0.8072659176029964
BWA,0.7757802746566792,0.03957848419764705,0.5627802690582959,0.6901231802911535,0.06373515705927085,0.5583864118895966,0.7733832709113608,0.06210307555812406,0.5627802690582959,stock,0.7757802746566792
BXP,0.7890886392009988,0.03570568258070382,0.5179372197309418,0.7198432250839867,0.039313679829527146,0.5095541401273885,0.7755805243445693,0.05128017891240349,0.5179372197309418,stock,0.7890886392009988
C,0.838501872659176,0.02836014806535141,0.5291479820627802,0.7706830907054871,0.032790939140149813,0.524416135881104,0.8632709113607989,0.014441028905913008,0.5291479820627802,both,0.8632709113607989
CAG,0.8272908863920101,0.030938697401120843,0.5358744394618834,0.6835386338185891,0.056569686340518385,0.5414012738853503,0.8227715355805245,0.05361035658743117,0.5358744394618834,stock,0.8272908863920101
CAH,0.838501872659176,0.04199729529475432,0.49551569506726456,0.7175811870100783,0.03983257938397207,0.49469214437367304,0.8227465667915105,0.033325654780099065,0.49551569506726456,stock,0.838501872659176
CAT,0.8520099875156054,0.01657024858395722,0.5762331838565022,0.7473236282194848,0.03783235409637869,0.5753715498938429,0.8116354556803994,0.02616300200244844,0.5762331838565022,stock,0.8520099875156054
CB,0.8251435705368291,0.05428249187026783,0.5582959641255605,0.768555431131019,0.031267467050808524,0.5583864118895966,0.8003995006242196,0.06952964488260209,0.5582959641255605,stock,0.8251435705368291
CCI,0.7825468164794007,0.04158727022830436,0.5403587443946188,0.7537513997760358,0.018975594413968955,0.5371549893842887,0.7959550561797754,0.0404843794153296,0.5403587443946188,both,0.7959550561797754
CDE,0.7803245942571785,0.02565858654814392,0.4820627802690583,0.6942889137737962,0.04566343196622575,0.47983014861995754,0.7847940074906368,0.024618567552535102,0.4820627802690583,both,0.7847940074906368
CDNS,0.8071410736579276,0.03597329264252301,0.6524663677130045,0.7707502799552073,0.03365417640793852,0.6518046709129511,0.8228963795255929,0.05373916860218311,0.6524663677130045,both,0.8228963795255929
CF,0.8049188514357054,0.046430374566529986,0.5291479820627802,0.7578723404255319,0.026210831650101275,0.5286624203821656,0.8138826466916355,0.025343800540345636,0.5291479820627802,both,0.8138826466916355
CFG,0.8183021223470661,0.028309762294004052,0.5919282511210763,0.6921164613661814,0.024564550605001192,0.5817409766454352,0.8094631710362048,0.030643978188723907,0.5919282511210763,stock,0.8183021223470661
CHD,0.816079900124844,0.03825707390613615,0.5493273542600897,0.7430907054871221,0.028127028191373447,0.5414012738853503,0.8205243445692885,0.03591320910586386,0.5493273542600897,both,0.8205243445692885
CHRW,0.7714107365792758,0.03359763731522144,0.5695067264573991,0.7198880179171333,0.0376755792106248,0.5753715498938429,0.7847440699126093,0.028830724488762914,0.5695067264573991,both,0.7847440699126093
CHTR,0.8497378277153558,0.013841269767731661,0.6098654708520179,0.766494960806271,0.04387328245061339,0.6093418259023354,0.8497128589263421,0.032486726250900724,0.6098654708520179,stock,0.8497378277153558
CINF,0.8294132334581772,0.044403016223081244,0.57847533632287,0.7366853303471445,0.01762138328291076,0.564755838641189,0.8339575530586767,0.033284435324810104,0.57847533632287,both,0.8339575530586767
CL,0.8049188514357054,0.015389283765529806,0.5336322869955157,0.7557894736842105,0.046352542702726734,0.5286624203821656,0.8140074906367042,0.026201814623514317,0.5336322869955157,both,0.8140074906367042
CLX,0.8208239700374532,0.049690424592982056,0.5,0.7559014557670772,0.019277239887854052,0.5074309978768577,0.7983270911360799,0.03463033318083652,0.5,stock,0.8208239700374532
CME,0.7845193508114857,0.058783338613629985,0.5224215246636771,0.7325867861142217,0.028485301319498772,0.5265392781316348,0.7733333333333334,0.04845834091166187,0.5224215246636771,stock,0.7845193508114857
CMG,0.8295131086142323,0.02228436093358513,0.5986547085201793,0.7304143337066069,0.05118267735698165,0.5966029723991507,0.8093133583021224,0.02980060272167215,0.5986547085201793,stock,0.8295131086142323
CMI,0.7824968789013733,0.029898850313876082,0.5650224215246636,0.7196192609182531,0.06481971023949275,0.5626326963906582,0.7779775280898876,0.03537167167631642,0.5650224215246636,stock,0.7824968789013733
CNC,0.7893133583021223,0.03228587040356785,0.4977578475336323,0.7154535274356103,0.018912709638114984,0.5074309978768577,0.8296878901373284,0.027167419367322972,0.4977578475336323,both,0.8296878901373284
CNP,0.8183270911360798,0.06102764330652076,0.5672645739910314,0.724053751399776,0.040437559669009956,0.5626326963906582,0.8205493133583021,0.04629523225829575,0.5672645739910314,both,0.8205493133583021
CNWT,0.860030165912519,0.06627170185681332,0.47470817120622566,0.7854199328107503,0.052687987688645355,0.5031847133757962,0.8716440422322776,0.061873496493100005,0.47470817120622566,both,0.8716440422322776
COO,0.8497877652933832,0.02304477199768568,0.5829596412556054,0.7602015677491603,0.030864391086967414,0.5817409766454352,0.8408489388264669,0.036988410428299055,0.5829596412556054,stock,0.8497877652933832
COP,0.7981772784019975,0.04032637991122198,0.5538116591928252,0.7684882418812989,0.030190552300396172,0.554140127388535,0.795980024968789,0.016280799267078348,0.5538116591928252,stock,0.7981772784019975
COST,0.8116604244694132,0.04285982638727972,0.6367713004484304,0.7282866741321389,0.029271662360644834,0.6284501061571125,0.822896379525593,0.06079372527334223,0.6367713004484304,both,0.822896379525593
COTY,0.8318601747815231,0.029157131646378644,0.4461883408071749,0.7431354983202687,0.030042470043801214,0.4416135881104034,0.8229712858926342,0.03136938581680781,0.4461883408071749,stock,0.8318601747815231
COWN,0.8250686641697877,0.017200288164799182,0.6300448430493274,0.7603583426651734,0.06929963042216777,0.6263269639065817,0.8228714107365793,0.010956263649395274,0.6300448430493274,stock,0.8250686641697877
CPB,0.8003995006242197,0.018438804056360093,0.5179372197309418,0.6944904815229563,0.06028453895485959,0.5180467091295117,0.7824719101123596,0.012093145210852797,0.5179372197309418,stock,0.8003995006242197
CPICQ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
CPRT,0.8476154806491886,0.030125814018123486,0.5852017937219731,0.7559238521836507,0.0460752372215038,0.5774946921443737,0.8409238451935082,0.04517049234257269,0.5852017937219731,stock,0.8476154806491886
CRM,0.8116604244694132,0.05240172570940866,0.5739910313901345,0.7219708846584547,0.05118614650330119,0.5668789808917197,0.8250936329588014,0.040643175928840584,0.5739910313901345,both,0.8250936329588014
CSCO,0.8139325842696629,0.04399905887827564,0.600896860986547,0.749585666293393,0.04254726191963597,0.6050955414012739,0.8207240948813983,0.046125402911134275,0.600896860986547,both,0.8207240948813983
CTAS,0.7870911360799001,0.042043437199129244,0.6098654708520179,0.6816349384098543,0.039925342486214356,0.5944798301486199,0.7892634207240949,0.032683372284288595,0.6098654708520179,both,0.7892634207240949
CTQ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
CTSH,0.7804494382022471,0.04404494382022473,0.5717488789237668,0.6922732362821948,0.047975665002780346,0.5626326963906582,0.7758551810237203,0.033527198823990426,0.5717488789237668,stock,0.7804494382022471
CTXS,0.8184519350811484,0.0454058921396662,0.5,0.7238969764837627,0.0630978485617373,0.5201698513800425,0.809438202247191,0.06187574241213715,0.5,stock,0.8184519350811484
CUK,0.843071161048689,0.01990311648776992,0.5179372197309418,0.7453751399776036,0.04840525239630914,0.5074309978768577,0.8430461922596754,0.014229668827215896,0.5179372197309418,stock,0.843071161048689
D,0.8005493133583022,0.043456999117187534,0.5134529147982063,0.715498320268757,0.05140641646156483,0.5116772823779193,0.8139825218476904,0.03397957720090686,0.5134529147982063,both,0.8139825218476904
DAL,0.8430711610486892,0.04428987415459021,0.5201793721973094,0.7749384098544232,0.017105848717028835,0.505307855626327,0.8497627965043696,0.035293151423417754,0.5201793721973094,both,0.8497627965043696
DE,0.7870661672908864,0.04566310266112068,0.6210762331838565,0.7304143337066069,0.05029043404199617,0.6157112526539278,0.802721598002497,0.04456144736014946,0.6210762331838565,both,0.802721598002497
DFS,0.813932584269663,0.02690630030938564,0.6524663677130045,0.7133706606942889,0.0095917344295267,0.6369426751592356,0.8048938826466916,0.042555372997401746,0.6524663677130045,stock,0.813932584269663
DG,0.8610486891385769,0.026757409886879018,0.5852017937219731,0.7770660694288913,0.015074202622883974,0.5817409766454352,0.8676654182272159,0.019596920719449254,0.5852017937219731,both,0.8676654182272159
DGX,0.8384269662921348,0.0670943651254479,0.594170403587444,0.7368868980963046,0.0471074217550886,0.5859872611464968,0.8474406991260924,0.04550489014349546,0.594170403587444,both,0.8474406991260924
DHI,0.8497627965043696,0.020919554174014955,0.5874439461883408,0.743157894736842,0.02825586449712701,0.5796178343949044,0.8251435705368289,0.020534244645368762,0.5874439461883408,stock,0.8497627965043696
DIS,0.8072409488139826,0.0394364613490711,0.5089686098654709,0.7323180291153415,0.05498202127530685,0.5074309978768577,0.8072409488139826,0.05894220992895546,0.5089686098654709,stock,0.8072409488139826
DLTR,0.807191011235955,0.03426947872486878,0.5269058295964125,0.70494960806271,0.05880905805063916,0.5201698513800425,0.8093882646691636,0.010517285483046411,0.5269058295964125,both,0.8093882646691636
DOV,0.8138077403245942,0.03417529514256859,0.6502242152466368,0.7898544232922733,0.03358197596887996,0.6454352441613588,0.8025967540574281,0.04092706709161936,0.6502242152466368,stock,0.8138077403245942
DPZ,0.8520349563046192,0.019180581024657226,0.5538116591928252,0.7493840985442329,0.04327872087749505,0.554140127388535,0.8452933832709112,0.021762473362984636,0.5538116591928252,stock,0.8520349563046192
DRE,0.8318102372034957,0.027673529641024118,0.600896860986547,0.7812765957446809,0.04198341952143178,0.5987261146496815,0.8474406991260924,0.023574027968883214,0.600896860986547,both,0.8474406991260924
DRI,0.7757303370786517,0.057475397216472254,0.5560538116591929,0.6835834266517358,0.0357472768326523,0.5520169851380042,0.7689388264669164,0.07121518846391077,0.5560538116591929,stock,0.7757303370786517
DTE,0.784669163545568,0.06998170297209665,0.5852017937219731,0.7282866741321389,0.031506162497206246,0.5796178343949044,0.786916354556804,0.05296223297677053,0.5852017937219731,both,0.786916354556804
DVA,0.8003245942571784,0.04665380643591704,0.5381165919282511,0.7495632698768196,0.04219954420229676,0.5265392781316348,0.8025468164794007,0.034341444644026664,0.5381165919282511,both,0.8025468164794007
DXCM,0.8294132334581773,0.059473412180662016,0.5874439461883408,0.7707278835386338,0.01936579172960796,0.583864118895966,0.8070661672908864,0.06779481893808754,0.5874439461883408,stock,0.8294132334581773
EA,0.8092883895131087,0.0412368905247213,0.5605381165919282,0.7176259798432251,0.020758180047308276,0.564755838641189,0.8272659176029962,0.04608683857167193,0.5605381165919282,both,0.8272659176029962
EBAY,0.8520848938826466,0.02237604743757176,0.547085201793722,0.7706159014557671,0.03764001497951107,0.5435244161358811,0.8386516853932585,0.02551922618710721,0.547085201793722,stock,0.8520848938826466
ECL,0.8655430711610487,0.02411007781188177,0.5964125560538116,0.7770884658454648,0.02210091732667964,0.5859872611464968,0.836354556803995,0.022876970795423023,0.5964125560538116,stock,0.8655430711610487
ED,0.809538077403246,0.03609640685262911,0.515695067264574,0.7793057110862261,0.0475791510484446,0.5222929936305732,0.8163046192259674,0.050218287193477186,0.515695067264574,both,0.8163046192259674
EFX,0.8228714107365793,0.03285596638270132,0.5919282511210763,0.7431354983202688,0.02011435127469598,0.5774946921443737,0.838601747815231,0.04283136489776966,0.5919282511210763,both,0.838601747815231
EIX,0.78019975031211,0.020231437980147943,0.5112107623318386,0.7220156774916013,0.0404177823842105,0.5095541401273885,0.7824968789013733,0.029898850313876076,0.5112107623318386,both,0.7824968789013733
EL,0.8251435705368289,0.04041810719208627,0.600896860986547,0.747390817469205,0.024097898974364165,0.5944798301486199,0.8184769038701623,0.04117655375719955,0.600896860986547,stock,0.8251435705368289
EMN,0.8093133583021224,0.05298136984022979,0.5986547085201793,0.7304815229563271,0.05581416182188165,0.5966029723991507,0.813832709113608,0.061547654679774265,0.5986547085201793,both,0.813832709113608
EMR,0.764669163545568,0.05591838204603311,0.5896860986547086,0.7367301231802912,0.031106840852989495,0.5881104033970276,0.757852684144819,0.053427467693054856,0.5896860986547086,stock,0.764669163545568
ENS,0.7802247191011237,0.03476688468460893,0.5291479820627802,0.6729451287793953,0.05057939997314732,0.5286624203821656,0.7712609238451935,0.025536419273399988,0.5291479820627802,stock,0.7802247191011237
EOG,0.8094631710362046,0.03524266513318435,0.547085201793722,0.7750727883538634,0.03671916915292252,0.5477707006369427,0.8206491885143571,0.048105312403955,0.547085201793722,both,0.8206491885143571
EQIX,0.7847440699126093,0.028830724488762914,0.547085201793722,0.69003359462486,0.03757428593105924,0.5498938428874734,0.8070911360799002,0.038862410152607746,0.547085201793722,both,0.8070911360799002
EQR,0.7846441947565543,0.04980006034035853,0.5538116591928252,0.7685330347144458,0.02674145269053017,0.5477707006369427,0.7802496878901374,0.02536887944500981,0.5538116591928252,stock,0.7846441947565543
ES,0.8340574282147315,0.037288560385238693,0.5022421524663677,0.7772004479283315,0.03999040575941624,0.4968152866242038,0.845243445692884,0.037364989794879816,0.5022421524663677,both,0.845243445692884
ESS,0.7690137328339575,0.04869492587008239,0.5246636771300448,0.7515341545352744,0.03694420445403501,0.5180467091295117,0.7779525593008738,0.05022014935037532,0.5246636771300448,both,0.7779525593008738
EW,0.8049937578027466,0.02662895302450916,0.5762331838565022,0.7366853303471445,0.02921892161908669,0.5690021231422505,0.802796504369538,0.028907949087841084,0.5762331838565022,stock,0.8049937578027466
EXR,0.8183021223470662,0.02830976229400407,0.6636771300448431,0.810996640537514,0.04076814731998796,0.6560509554140127,0.7959051186017477,0.0244146243863129,0.6636771300448431,stock,0.8183021223470662
F,0.769063670411985,0.025152928991694513,0.6210762331838565,0.7324300111982083,0.04755501332238969,0.6093418259023354,0.7825468164794007,0.04832685731515731,0.6210762331838565,both,0.7825468164794007
FANG,0.7735830212234707,0.0426279170548917,0.5762331838565022,0.7558342665173573,0.04514623188773746,0.5753715498938429,0.7915605493133583,0.05402276642007667,0.5762331838565022,both,0.7915605493133583
FAST,0.7893133583021223,0.03228587040356789,0.6210762331838565,0.723986562150056,0.016521877643622295,0.6114649681528662,0.7891885143570536,0.04128614745550407,0.6210762331838565,stock,0.7893133583021223
FB,0.8251186017478153,0.04354075727357583,0.57847533632287,0.7218589025755879,0.03527342468419595,0.5753715498938429,0.8116604244694132,0.04459216008646756,0.57847533632287,stock,0.8251186017478153
FBHS,0.8608489388264668,0.04265072621379551,0.600896860986547,0.7771332586786114,0.020482670908877114,0.5944798301486199,0.8609238451935081,0.027404312356432203,0.600896860986547,both,0.8609238451935081
